Код;Наименование
60;Злокачественное новообразование печени и внутрипеченочных желчных протоков
61;Злокачественные новообразования поджелудочной железы
62;Злокачественные новообразования других и неточно обозначенных локализаций органов пищеварения
63;Злокачественное новообразование гортани
64;Злокачественное новообразование трахеи, бронхов, легких
65;Злокачественное новообразование других и неточно обозначенных локализаций органов дыхания и грудной клетки
66;Злокачественное новообразование костей, суставных хрящей конечностей, других и неуточненных локализаций
67;Злокачественная меланома кожи
68;Другие злокачественные новообразования кожи
69;Мезотелиома, саркома Капоши, злокачественные новообразования периферических нервов и автономной нервной системы, забрюшинного пространства, брюшины, других мягких тканей и соединительной ткани
70;Злокачественные новообразования грудной железы
71;Злокачественные новообразования шейки матки
72;Злокачественные новообразования тела матки, матки, других и неуточненных частей матки
73;Злокачественные новообразования яичника
74;Злокачественные новообразования других и неуточненных женских половых органов
75;Злокачественные новообразования предстательной железы
76;Злокачественные новообразования других мужских половых органов
77;Злокачественные новообразования почек, кроме почечной лоханки
78;Злокачественные новообразования мочевого пузыря
79;Злокачественные новообразования других и неуточненных мочевых органов
80;Злокачественные новообразования мозговых оболочек, головного мозга, спинного мозга, черепномозговых нервов и других частей нервной системы
81;Злокачественные новообразования щитовидной железы
82;Лимфома Болезнь Ходжкина
83;Неходжкинская лимфома
84;Множественные миеломные и плазмоклеточные новообразования
85;Лейкемия
86;Злокачественные новообразования других и неточно обозначенных, вторичных и неуточненных локализаций
87;Рак in situ, доброкачественные новообразования, и новообразования неопределенного и неизвестного характера
88;Гемолитические анемии
89;Другие анемии
90;Другие болезни крови и кроветворных органов и отдельные нарушения с вовлечением иммунного механизма
91;Инсулинзависимый сахарный диабет
92;Инсулиннезависимый сахарный диабет
93;Другие формы сахарного диабета
94;Недостаточность питания
95;Другие болезни эндокринной системы, расстройства питания и нарушения обмена веществ
96;Психические и поведенческие расстройства, вызванные употреблением алкоголя, острая интоксикация алкоголем
97;Психические и поведенческие расстройства, вызванные употреблением алкоголя, пагубное потребление алкоголя
98;Психические и поведенческие расстройства, вызванные употреблением алкоголя, синдром зависимости
99;Другие и неуточненные психические расстройства и расстройства поведения, обусловленные употреблением алкоголя
100;Алкогольные психозы, энцефалопатия, слабоумие
101;Другие психозы
102;Психические и поведенческие расстройства в результате злоупотребления наркотиками и другими психоактивными веществами
103;Психические и поведенческие расстройства в результате злоупотребления другими психоактивными веществами
104;Умственная отсталость
105;Другие психические и поведенческие расстройства
106;Менингит, за исключением менингита при инфекционных и паразитарных заболеваниях
107;Другие воспалительные заболевания центральной нервной системы
108;Болезнь Паркинсона и вторичный паркинсонизм
109;Болезнь Альцгеймера
110;Рассеянный склероз
111;Эпилепсия
112;Детский Церебральный паралич
113;Дегенерация нервной системы, вызванная алкоголем
114;Токсическая энцефалопатия
115;Алкогольная полиневропатия
116;Алкогольная миопатия
117;Прочие нарушения нервной системы
118;Болезни глаза и его придаточного аппарата
119;Средний отит
120;Другие болезни уха и сосцевидного отростка
121;Острая ревматическая лихорадка
122;Хронические ревматические болезни сердца
123;Гипертоническая болезнь с преимущественным поражением сердца
124;Гипертоническая болезнь с преимущественным поражением почек
125;Гипертоническая болезнь с преимущественным поражением сердца и почек
126;Другие и неуточненные формы гипертензии
127;Острый инфаркт миокарда, включая определенные осложнения, развивающиеся после острого инфаркта миокарда
128;Повторный инфаркт миокарда
129;Атеросклеротическая болезнь сердца
130;Атеросклеротическая сердечно-сосудистая болезнь, так описанная
131;Хроническая ишемическая болезнь сердца, неуточненная
132;Прочие формы хронической ишемической болезни сердца
133;Другие формы острой ишемической болезни сердца
134;Легочное сердце и нарушения легочного кровообращения
135;Алкогольная кардиомиопатия
136;Кардиомиопатия, неуточненная
137;Дегенерация миокарда
138;Сердечная недостаточность, неуточненная
139;Внезапная сердечная смерть, так описанная
140;Прочие болезни сердца
141;Субарахноидальное кровоизлияние
142;Внутримозговые и другие нетравматические внутричерепные кровоизлияния
143;Инфаркт мозга
144;Инсульт, не уточненный как кровоизлияние или инфаркт
145;Церебральный атеросклероз
146;Гипертензивная энцефалопатия
147;Другие уточненные поражения сосудов мозга
148;Цереброваскулярная болезнь, неуточненная
149;Последствия цереброваскулярных болезней
150;Прочие цереброваскулярные болезни
151;Атеросклероз
152;Другие болезни артерий, артериол и капилляров
153;Флебит и тромбофлебит, венозные тромбозы и эмболии
154;Другие болезни вен и лимфатических сосудов
155;Другие и неуточненные болезни системы кровообращения
156;Острые респираторные инфекции верхних дыхательных путей
157;Стрептококковый фарингит (ангина)
158;Грипп
159;Вирусная пневмония, не классифицированая в других рубриках
160;Бактериальная пневмония
161;Пневмония, вызванная другими инфекционными возбудителями, не классифицированная в других рубриках
162;Пневмония без уточнения возбудителя
163;Острые респираторные инфекции нижних дыхательных путей (острые бронхит и бронхиолит)
164;Бронхит (неуточненный как острый или хронический)
165;Эмфизема
166;Другие хронические обструктивные заболевания легких
167;Астма
168;Бронхоэктазия
169;Пневмокониозы и другие болезни легкого, вызванные внешними агентами
170;Другие респираторные болезни, поражающие главным образом интерстициальную ткань (острый отек легкого, эозинофильная астма, пневмония Леффлера, диффузный и идепатческой легочный фиброз, интерстициальная пневмония без других указаний)
171;Гнойные и некротические состояния нижних дыхательных путей (абсцесс легкого и средостения, гангрена и некроз легкого, абсцесс легкого с пневмонией, эмпиема)
172;Другие болезни органов дыхания
173;Язва желудка
174;Язва двенадцатиперстной кишки
175;Пептическая язва, неуточненной локализации
176;Алкогольный гастрит
177;Другие гастриты и доудениты
178;Болезни червеобразного отростка (аппендикса)
179;Грыжи
180;Неинфекционные энтериты и колиты
181;Паралитический илеус и непроходимость кишечника без грыжи
182;Алкогольная болезнь печени (алкогольный: цирроз, гепатит, фиброз)
183;Фиброз и цирроз печени (кроме алкогольного)
184;Другие болезни печени
185;Желчнокаменная болезнь (холелитиаз)
186;Холецистит
187;Хронический панкреатит алкогольной этиологии
188;Острый панкреатит и другие болезни поджелудочной железы
189;Сосудистые болезни кишечника
190;Перитонит
191;Прочие болезни органов пищеварения
192;Инфекции кожи и подкожной клетчатки
193;Неинфекционные заболевания кожи и подкожной клетчатки
194;Ревматоидный артрит
195;Системная красная волчанка
196;Остеомиелит и периостит
197;Другие болезни костномышечной системы и соединительной ткани
198;Острый и быстро прогрессирующий нефритический синдром (острые: нефрит, гломерунефрит, гломерулярная болезнь)
199;Хронический нефритический синдром (хронические: гломерулярная болезнь, гломерунефрит, нефрит)
200;Другие гломерулярные болезни (нефротический синдром, наследственная нефропатия, нефритический синдром неуточненный)
201;Острый тубулоинтерстициальный нефрит (острые: инфекционный интерстициальный нефрит, пиелит, пиелонефрит)
202;Другие тубулоинтерстициальные болезни почек
203;Мочекаменная болезнь
204;Другие болезни мочевыделительной системы
205;Гиперплазия предстательной железы
206;Другие болезни половых органов
207;Внематочная беременность
208;Легально произведеннй аборт (медицинский аборт и неудачная попытка абота)
209;Аборты, начатые вне лечебного учреждения
210;Токсемия во время беременности
211;Кровотечение в связи с отслойкой и предлежанием плаценты
212;Кровотечение в родах и послеродовом периоде
213;Осложнения анестезии во время беременности, родов и в послеродовом периоде
214;Сепсис во время родов и в послеродовом периоде
215;Акушерская эмболия
216;Разрыв матки до начала родов и во время родов
217;Прочие прямые причины акушерской смерти
218;Непрямые причины акушерской смерти
219;Остальные осложнения беременности, родов и послеродового периода
220;Поздняя материнская смерть от любой акушерской причины (смерть матери, наступившая спустя 42 дня после родов, но не позднее одного года после родов)
221;Родовая травма
222;Внутриутробная гипоксия и асфикция в родах
223;Дыхательное расстройство новорожденного (дистресс)
224;Врожденная пневмония
225;Другие респираторные состояния у новорожденного специфичные для перинатального периода
226;Бактериальный сепсис новорожденного
227;Омфалит новорожденного с умеренным кровотечением или без него
228;Геморрагические нарушения у плода и новорожденного
229;Гемолитическая болезнь и другие виды желтух
230;Преходящие эндокринные нарушения и нарушения обмена веществ, специфичные для плода и новорожденного
231;Остальные перинатальные состояния
232;Врожденная гидроцефалия и spina bifida
233;Другие врожденные аномалии развития нервной системы
234;Врожденные аномалии развития сердца
235;Другие врожденные аномалии развития системы кровообращения
236;Врожденные пороки развития органов дыхания
237;Врожденные аномалии развития органов пищеварения
238;Врожденные аномалии развития мочевыделительной системы
239;Синдром Дауна и другие хромосомные аномалии, не классифицированные в ругих разделах
240;Алкогольный синдром у плода (дизморфия)
241;Прочие врожденные аномалии развития, деформации и хромосомные нарушения
242;Старость
243;Синдром внезапной смерти младенца
244;Другие виды внезапной смерти по неизвестной причине, смерть без свидетелей
245;Другие симптомы и неточно обозначенные причины смерти
246;Травмы головы (перелом костей черепа и лица)
247;Травмы шеи
248;Травмы грудной клетки
249;Травма брюшной полости, нижней части спины, поясничнокрестцового отдела позвоночника и таза
250;Травмы конечностей
251;Последствия попадания инородного тела через естественные отверстия
252;Термические и химические ожоги
253;Обморожения
254;Неблагоприятные реакции на химические и биологические вещества (отравления)
255;Все другие и неуточненные травмы и другие последствия воздействия внешних факторов
256;Пешеход, получивший травму в результате дорожно-транспортного происшествия (кроме травм на железной дороге)
257;Велосипедист (любой), мотоциклист (любой) и лицо, находящееся в трехколесном транспортном средстве, пострадавшие в результате дорожного транспортного случая
258;Лицо, находившееся в автотранспортном средстве, пострадавшее в результате дорожного транспортного случая
259;Пешеход, пострадавший в результате недорожного транспортного случая (кроме железнодорожного)
260;Велосипедист (любой), мотоциклист (любой) и лицо, находящееся в трехколесном транспортном средстве, пострадавшие в результате недорожного транспортного случая
261;Лицо, находившееся в автотранспортном средстве, пострадавшее в результате недорожного транспортного случая
262;Пешеход, пострадавший при столкновении с поездом или другим железнодорожным транспортным средством
263;Пешеход, пострадавший в результате неуточненного транспортного случая (кроме железнодорожного)
264;Погружение в воду и утопление в результате аварии на водном транспортном средстве
265;Погружение в воду и утопление, связанное с водным транспортом, не связанное с аварией на нем
266;Другие и неуточненные несчастные случаи на водном транспорте
267;Несчастные случаи на воздушном транспорте и при космических полетах
268;Другие и неуточненные транспортные несчастные случаи
269;Падение на поверхности одного уровня
270;Падение с одного уровня на другой
271;Падение неуточненное
272;Случайное утопление и погружение в воду в искусственном водоеме
273;Случайное утопление и погружение в воду в результате падения в искусственный водоем
274;Случайное утопление и погружение в воду во время нахождения в естественном водоеме
275;Случайное утопление и погружение в воду в результате падения в естественный водоем
276;Другие случайные утопления (уточненные и неуточненные)
277;Случайное вдыхание и проглатывание, приводящее к обструкции дыхательных путей, инорордные предметы
278;Случайные несчастные случаи, вызванные воздействием дымом, огнем и пламенем
279;Случайное отравление (воздействие) алкоголем
280;Случайное отравление и воздействие медикаментами и биолгически активными веществами, кроме наркотиков и психоделиков
281;Случайное отравление и воздействие наркотиками и психодислептиками [галлюциногенами], не классифицированное в других рубриках
282;Прочие случайные отравления
283;Преднамеренное самоотравление и воздействие алкоголем
284;Другие преднамеренные самоповреждения (включая самоубийство)
285;Убийство (нападение, насилие) совершенное другим человеком, включая легально произведенную смертную казнь
286;Отравление и воздействие медикаментами с неопределенными намерениями
287;Отравление и воздействие наркотиками и психодислептиками [галлюциногенами], не классифицированное в других рубриках с неопределенными намерениями
288;Отравление и воздействие алкоголем с неопределенными намерениями
289;Прочие отравления с неопределенными намерениями
290;Повешение, удушение и удавление с неопределенными намерениями
291;Погружение в воду и утопление с неопределенными намерениями
292;Повреждение в результате выстрела из огнестрельного оружия с неопределенными намерениями
293;Воздействие дымом, огнем и пламенем с неопределенными намерениями
294;Контакт с острым и тупым предметом с неопределенными намерениями
295;Падение, прыжок или сталкивание с высоты с неопределенными намерениями
296;Авария моторноготранспортного средства с неопределенными намерениями
297;Уточненные и неуточненные повреждения с неопределенными намерениями
298;Прочие повреждения с неопределенными намерениями
299;Повреждения в результате военных действий
300;Осложнения терапевтического и хирургического вмешательств
301;Несчастный случай, вызванный огнестрельным оружием
302;Воздействие чрезмерно низкой природной температуры
303;Воздействие или последствия других указанных или не указанных в других рубриках факторов
304;Терроризм
305;Прочие и неуточненные внешние причины смерти и их поздние эффекты
306;Тяжелый острый респираторный синдром [SARS]
